"noaa","name","year","origin","destination","count"
"GHCND:USC00020159","ALPINE, AZ","1973","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1974","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1975","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1976","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1977","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1978","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1979","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1980","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1981","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1982","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1983","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1984","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1985","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1986","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1987","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1988","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1989","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1990","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1991","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1992","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1993","GHCND:USC00020159","GHCND:USC00020159","1"
